,Stock,Accuracy
0,AAPL,0.559322033898305
1,ABB,0.4576271186440678
2,ABBV,0.3220338983050847
3,AEP,0.5084745762711864
4,AGFS,0.423728813559322
5,AMGN,0.4576271186440678
6,AMZN,0.4915254237288136
7,BA,0.3728813559322034
8,BABA,0.4576271186440678
9,BAC,0.423728813559322
10,BBL,0.4576271186440678
11,BHP,0.4067796610169492
12,BP,0.4745762711864407
13,BRK-A,0.4067796610169492
14,BUD,0.4576271186440678
15,C,0.5423728813559322
16,CAT,0.5254237288135594
17,CELG,0.423728813559322
18,CHL,0.576271186440678
19,CHTR,0.6101694915254238
20,CMCSA,0.6271186440677966
21,CODI,0.3898305084745763
22,CSCO,0.6101694915254238
23,CVX,0.4915254237288136
24,D,0.5932203389830508
25,DHR,0.5423728813559322
26,DIS,0.5084745762711864
27,DUK,0.559322033898305
28,EXC,0.4745762711864407
29,FB,0.423728813559322
30,GD,0.5423728813559322
31,GE,0.4745762711864407
32,GOOG,0.5254237288135594
33,HD,0.6101694915254238
34,HON,0.4406779661016949
35,HRG,0.3898305084745763
36,HSBC,0.5084745762711864
37,IEP,0.4915254237288136
38,INTC,0.5084745762711864
39,JNJ,0.4915254237288136
40,JPM,0.559322033898305
41,KO,0.4915254237288136
42,LMT,0.3728813559322034
43,MA,0.423728813559322
44,MCD,0.4915254237288136
45,MDT,0.5084745762711864
46,MMM,0.5254237288135594
47,MO,0.423728813559322
48,MRK,0.4745762711864407
49,MSFT,0.6949152542372882
50,NEE,0.423728813559322
51,NGG,0.4745762711864407
52,NVS,0.4915254237288136
53,ORCL,0.423728813559322
54,PCG,0.5932203389830508
55,PCLN,0.4406779661016949
56,PEP,0.559322033898305
57,PFE,0.4406779661016949
58,PG,0.576271186440678
59,PICO,0.4915254237288136
60,PM,0.5423728813559322
61,PPL,0.4067796610169492
62,RDS-B,0.5254237288135594
63,SNY,0.6271186440677966
64,SO,0.4745762711864407
65,SPLP,0.4576271186440678
66,SRE,0.5254237288135594
67,T,0.423728813559322
68,TM,0.559322033898305
69,TOT,0.5423728813559322
70,TSM,0.4745762711864407
71,UL,0.3559322033898305
72,UN,0.3389830508474576
73,UNH,0.3898305084745763
74,UPS,0.3898305084745763
75,UTX,0.5084745762711864
76,V,0.423728813559322
77,VZ,0.5254237288135594
78,WFC,0.423728813559322
79,WMT,0.4915254237288136
80,XOM,0.4915254237288136
