,Stock,MSE
0,AAPL,48.87893855507489
1,ABB,2.2156085895686664
2,ABBV,18.277936574996478
3,AEP,9.365797940975764
4,AGFS,0.4969415910605257
5,AMGN,113.32255288609666
6,AMZN,1468.6179866116684
7,BA,1321.3599514377383
8,BABA,575.8174686672213
9,BAC,4.918476809732443
10,BBL,3.370792070755244
11,BHP,5.344549275368654
12,BP,3.2217455232129186
13,BRK-A,71177238.93629985
14,BUD,87.92229181265684
15,C,5.930270427907471
16,CAT,31.487163338856295
17,CELG,76.33162876288024
18,CHL,1.8193245057594158
19,CHTR,363.1457436571154
20,CMCSA,1.533382232652484
21,CODI,0.36380348440881183
22,CSCO,14.14264070064281
23,CVX,59.241636023030416
24,D,3.6120381509977646
25,DHR,19.369531347293346
26,DIS,63.97609087574314
27,DUK,5.023689248935786
28,EXC,5.8460232234702225
29,FB,196.19240580033608
30,GD,37.168846612481644
31,GE,7.198916781749955
32,GOOG,1318.528671610321
33,HD,17.327764348043345
34,HON,23.077885050507735
35,HRG,8.981056770777498
36,HSBC,7.72608718268007
37,IEP,21.11481901486656
38,INTC,11.856676645208056
39,JNJ,20.485572218164847
40,JPM,5.194756537568285
41,KO,8.945142494112341
42,LMT,250.66404856410387
43,MA,69.9961330457915
44,MCD,217.98631629896133
45,MDT,15.392386172955318
46,MMM,55.54397026497138
47,MO,40.9094463269315
48,MRK,14.138588172982221
49,MSFT,1.666277373533202
50,NEE,51.13039878763575
51,NGG,12.643447627523022
52,NVS,24.517171755691397
53,ORCL,32.649552867971835
54,PCG,2.2338497752673376
55,PCLN,10180.612849559695
56,PEP,2.630194823538463
57,PFE,1.7271412430964845
58,PG,2.7098502291974316
59,PICO,0.34513487378345314
60,PM,19.32450826559808
61,PPL,2.7118637366874196
62,RDS-B,8.929828485938902
63,SNY,0.9972164208768018
64,SO,4.457947637893356
65,SPLP,0.1871533975534591
66,SRE,8.066858327166383
67,T,8.259066336674854
68,TM,39.89498675043148
69,TOT,3.5980752296227796
70,TSM,0.6423117562147554
71,UL,22.063305424772423
72,UN,23.802100829279173
73,UNH,81.816955320713
74,UPS,44.50153365499037
75,UTX,6.942157420728657
76,V,36.77963053000676
77,VZ,4.3476888355246395
78,WFC,19.631459144942543
79,WMT,5.246167914268421
80,XOM,2.689913279055672
